Recipe Name,Ingredients,Instructions,Calories,Protein (g),Fat (g),Carbs (g),Meal Type,Allergens,Tags
Vegetable upma,"1/4 cup semolina, 1/2 cup water, 1/4 cup mixed veggies, 1/2 tsp mustard seeds, 1 tsp oil","Toast semolina, cook veggies with mustard seeds, mix with water and cook.",220,6,5,35,Breakfast,Eggs,"Breakfast, Homemade, Dairy, Energy Boosting"
Poached eggs with sautéed spinach,"2 eggs, 1/2 cup spinach, 1 tsp olive oil, salt, pepper","Poach eggs, sauté spinach in olive oil, serve together.",250,18,18,5,Breakfast,Eggs,"Healthy, Energy Boosting, Breakfast, Dairy, Homemade"
Cottage cheese and berry toast,"1 slice whole wheat toast, 1/4 cup cottage cheese, 1/4 cup mixed berries","Spread cottage cheese on toast, top with berries.",230,14,6,30,Breakfast,"Dairy, Gluten","Breakfast, Homemade, Dairy, Energy Boosting"
Protein smoothie with peanut butter and oats,"1/2 cup milk, 1/2 banana, 1 tbsp peanut butter, 1 tbsp oats, 1 scoop protein powder",Blend all ingredients until smooth.,350,25,12,40,Breakfast,"Dairy, Nuts","Energy Boosting, Breakfast, Dairy, Sweet, Homemade"
Homemade muffins with flaxseed and blueberries,"1/2 cup whole wheat flour, 1 tbsp flaxseed, 1/4 cup blueberries, 1 egg, 1 tbsp honey","Mix ingredients, bake at 350°F for 20 mins.",220,6,7,35,Breakfast,"Eggs, Gluten","Breakfast, Homemade, Dairy, Energy Boosting"
Grilled chicken salad with balsamic dressing,"4 oz grilled chicken, 2 cups mixed greens, 1/4 cup cherry tomatoes, 1 tbsp balsamic dressing","Grill chicken, slice, and toss with greens, tomatoes, and dressing.",350,40,12,15,Lunch,None,"Grilled, Lunch, Raw, Homemade, High Protein"
Lentil soup with whole-grain bread,"1/2 cup cooked lentils, 1 cup vegetable broth, 1/4 cup diced carrots, 1 slice whole-grain bread","Simmer lentils, broth, and carrots. Serve with bread.",320,18,5,50,Lunch,Gluten,"Indian, Homemade, Lunch"
Quinoa and chickpea bowl with tahini dressing,"1/2 cup cooked quinoa, 1/4 cup chickpeas, 1 tbsp tahini, 1/4 cup cucumber, 1 tbsp lemon juice",Mix all ingredients and drizzle with tahini dressing.,330,12,10,45,Lunch,None,"Plant-Based, Homemade, Lunch, Vegan"
Stir-fried tofu with vegetables and brown rice,"1/2 cup brown rice, 1/4 cup tofu, 1/2 cup mixed veggies, 1 tsp soy sauce, 1 tsp olive oil","Stir-fry tofu and veggies, serve with brown rice.",350,15,10,50,Lunch,"Eggs, Soy","Healthy, Vegan, Plant-Based, Dairy, Lunch, Homemade, Asian"
Hummus and roasted vegetable wrap,"1 whole wheat wrap, 2 tbsp hummus, 1/4 cup roasted veggies (bell peppers, zucchini)","Spread hummus on wrap, add roasted veggies, roll up.",320,10,12,45,Lunch,"Eggs, Gluten","Dairy, Homemade, Energy Boosting, Lunch"
Pasta with homemade marinara sauce and basil,"1/2 cup whole wheat pasta, 1/2 cup marinara sauce, 1 tbsp Parmesan, fresh basil","Cook pasta, toss with marinara and basil, top with Parmesan.",350,12,6,55,Lunch,Gluten,"Italian, Homemade, Energy Boosting, Lunch"
Avocado and egg salad sandwich,"1 boiled egg, 1/2 avocado, 2 slices whole wheat bread, 1 tsp lemon juice","Mash avocado with egg and lemon, spread on bread.",360,15,18,40,Lunch,"Eggs, Gluten","Healthy, Energy Boosting, Dairy, Lunch, Raw, Homemade"
Chicken and vegetable stir-fry with rice,"4 oz chicken, 1/2 cup brown rice, 1/2 cup stir-fried veggies, 1 tsp soy sauce","Sauté chicken and veggies, serve with rice.",400,40,10,45,Lunch,"Eggs, Soy","High Protein, Dairy, Lunch, Homemade, Asian"
Homemade sushi rolls with cucumber and smoked salmon,"1/2 cup sushi rice, 2 oz smoked salmon, 1/4 cup cucumber, 1 nori sheet","Roll ingredients in nori, slice into pieces.",350,20,8,40,Lunch,Fish,"Homemade, High Protein, Lunch"
Tomato and basil grilled cheese sandwich,"2 slices whole wheat bread, 1 slice cheese, 2 slices tomato, 1 tsp butter, fresh basil","Assemble sandwich, grill until golden brown.",380,12,18,40,Lunch,"Dairy, Gluten","Energy Boosting, Grilled, Dairy, Sweet, Lunch, Homemade"
Spinach and feta stuffed pita pockets,"1 whole wheat pita, 1/4 cup spinach, 1 tbsp feta cheese","Stuff pita with spinach and feta, lightly toast.",280,10,8,40,Lunch,"Dairy, Gluten","Energy Boosting, Dairy, Lunch, Mediterranean, Homemade"
Roasted sweet potato and black bean burrito,"1 whole wheat tortilla, 1/2 cup roasted sweet potato, 1/4 cup black beans, 1 tbsp salsa","Fill tortilla with ingredients, roll into a burrito.",350,12,10,55,Lunch,Gluten,"Mexican, Homemade, Energy Boosting, Lunch"
Tuna salad with mixed greens and vinaigrette,"1/2 can tuna, 2 cups mixed greens, 1 tbsp vinaigrette, 1 tbsp chopped nuts","Mix tuna with greens, top with vinaigrette and nuts.",320,30,12,15,Lunch,Nuts,"Raw, Homemade, Lunch"
Homemade vegetable soup with barley,"1 cup vegetable broth, 1/4 cup barley, 1/2 cup mixed vegetables",Simmer all ingredients together.,250,8,4,45,Lunch,None,"Plant-Based, Homemade, Lunch"
Baked falafel with tzatziki sauce,"2 falafel balls, 1 tbsp tzatziki, 1 whole wheat pita",Serve falafel in pita with tzatziki.,320,12,10,45,Lunch,Gluten,"Homemade, Energy Boosting, Lunch, Baked"
Grilled salmon with roasted asparagus,"4 oz salmon, 1/2 cup asparagus, 1 tsp olive oil, salt, pepper","Grill salmon, roast asparagus with olive oil and seasoning.",400,42,22,5,Dinner,Fish,"Healthy, Grilled, Dinner, Homemade, High Protein"
Stuffed bell peppers with quinoa and ground turkey,"1 bell pepper, 1/2 cup cooked quinoa, 2 oz ground turkey, 1 tbsp tomato sauce","Cook turkey, mix with quinoa and sauce, stuff in pepper, bake.",350,30,8,40,Dinner,None,"Plant-Based, Vegan, Dinner, Homemade"
Chicken curry with basmati rice,"4 oz chicken, 1/2 cup basmati rice, 1/4 cup coconut milk, 1 tbsp curry paste","Cook chicken with curry paste and coconut milk, serve with rice.",450,40,12,50,Dinner,"Dairy, Nuts","Indian, Dinner, Dairy, Homemade, High Protein"
Vegetable stir-fry with tofu and garlic sauce,"1/2 cup tofu, 1/2 cup mixed veggies, 1 tsp soy sauce, 1 tsp olive oil",Stir-fry tofu and veggies in olive oil and soy sauce.,350,15,10,50,Dinner,"Eggs, Soy","Healthy, Dinner, Vegan, Plant-Based, Dairy, Homemade, Asian"
Homemade whole-wheat pizza with fresh toppings,"1 whole wheat pizza base, 1/4 cup tomato sauce, 1/4 cup mozzarella, assorted veggies","Assemble toppings on base, bake at 400°F for 15 minutes.",400,18,12,55,Dinner,"Eggs, Gluten","Energy Boosting, Dinner, Dairy, Homemade, Italian"
Spaghetti with homemade pesto sauce,"1/2 cup whole wheat pasta, 1 tbsp pesto sauce, 1 tbsp Parmesan","Cook pasta, toss with pesto and Parmesan.",380,12,10,55,Dinner,Gluten,"Dinner, Italian, Energy Boosting, Homemade"
Baked lemon herb chicken with mashed potatoes,"4 oz chicken breast, 1/2 cup mashed potatoes, 1 tsp lemon juice, herbs","Bake chicken with lemon and herbs, serve with mashed potatoes.",420,42,12,40,Dinner,None,"Baked, Dinner, High Protein, Homemade"
Mushroom risotto with Parmesan cheese,"1/2 cup Arborio rice, 1/4 cup mushrooms, 1 tbsp Parmesan, 1/2 cup broth","Cook rice slowly with broth, add mushrooms and Parmesan.",390,10,8,55,Dinner,None,"Dinner, Italian, Homemade"
Beef and broccoli stir-fry with soy sauce,"4 oz beef, 1/2 cup broccoli, 1 tsp soy sauce, 1/2 cup brown rice","Stir-fry beef and broccoli, serve with rice.",450,40,12,45,Dinner,Soy,"Asian, Dinner, High Protein, Homemade"
Black bean and corn enchiladas,"2 small corn tortillas, 1/4 cup black beans, 1/4 cup corn, 1 tbsp salsa, 1 tbsp cheese","Fill tortillas with beans and corn, roll up, top with salsa and cheese, bake.",350,12,8,55,Dinner,Dairy,"Mexican, Dinner, Dairy, Homemade"
Mediterranean-style grilled lamb chops,"4 oz lamb chop, 1 tsp olive oil, 1/2 cup roasted veggies","Grill lamb, serve with roasted veggies.",450,42,22,10,Dinner,Eggs,"Healthy, Grilled, Dinner, Dairy, Mediterranean, Homemade"
Butternut squash soup with garlic bread,"1 cup butternut squash puree, 1/2 cup vegetable broth, 1 slice garlic bread","Simmer squash with broth, blend until smooth, serve with garlic bread.",320,8,6,50,Dinner,"Dairy, Gluten, Nuts","Dinner, Sweet, Homemade"
Baked cod with lemon butter sauce,"4 oz cod, 1 tsp butter, 1 tsp lemon juice, 1/2 cup steamed green beans","Bake cod with lemon and butter, serve with green beans.",350,40,10,5,Dinner,"Dairy, Fish","Baked, Dinner, Sweet, Homemade"
Spinach and ricotta stuffed shells,"3 jumbo pasta shells, 1/4 cup ricotta cheese, 1/4 cup spinach, 1 tbsp marinara sauce","Stuff shells with ricotta and spinach, bake with marinara sauce.",380,18,12,50,Dinner,"Dairy, Gluten","Italian, Dinner, Dairy, Homemade"
Sautéed shrimp with garlic butter and quinoa,"4 oz shrimp, 1 tsp butter, 1 tsp garlic, 1/2 cup cooked quinoa","Sauté shrimp with garlic butter, serve over quinoa.",400,40,12,35,Dinner,"Dairy, Shellfish","Dinner, Vegan, Plant-Based, Sweet, Homemade"
Roasted chickpeas with paprika,"1/2 cup chickpeas, 1 tsp olive oil, 1/2 tsp paprika, salt","Toss chickpeas with oil and paprika, roast at 400°F for 20 minutes.",220,8,6,35,Snack,None,"Healthy, Vegan, Plant-Based, Snack, Quick, Homemade"
Apple slices with peanut butter,"1 apple, 1 tbsp peanut butter","Slice apple, dip in peanut butter.",250,5,10,40,Snack,"Dairy, Nuts","Quick, Snack, Homemade, Sweet"
Homemade hummus with carrot and cucumber sticks,"2 tbsp hummus, 1/4 cup carrot sticks, 1/4 cup cucumber sticks",Dip veggies in hummus.,180,5,8,20,Snack,None,"Quick, Snack, Homemade"
Greek yogurt with honey and walnuts,"1/2 cup Greek yogurt, 1 tsp honey, 1 tbsp walnuts",Mix yogurt with honey and walnuts.,200,12,6,20,Snack,"Dairy, Nuts","Quick, Snack, Homemade"
Air-popped popcorn with nutritional yeast,"2 cups air-popped popcorn, 1 tsp nutritional yeast, salt",Sprinkle nutritional yeast and salt over popcorn.,150,3,2,30,Snack,Nuts,"Quick, Snack, Homemade"
Cottage cheese with pineapple chunks,"1/2 cup cottage cheese, 1/4 cup pineapple chunks",Mix cottage cheese with pineapple.,180,15,5,20,Snack,Dairy,"Quick, Snack, Homemade, Dairy"
Dark chocolate-covered almonds,"1/4 cup almonds, 1 tbsp dark chocolate (melted)","Dip almonds in melted chocolate, let cool.",220,6,14,18,Snack,Nuts,"Quick, Snack, Homemade"
Hard-boiled eggs with sea salt,"2 eggs, pinch of sea salt","Boil eggs, peel, sprinkle with sea salt.",160,14,10,2,Snack,Eggs,"Quick, Snack, Homemade, Dairy"
Almond butter and banana energy balls,"1/2 banana, 1 tbsp almond butter, 1 tbsp oats","Mash banana, mix with almond butter and oats, roll into balls.",210,6,9,30,Snack,"Dairy, Nuts","Energy Boosting, Snack, Sweet, Quick, Homemade"
Roasted almonds with cinnamon,"1/4 cup almonds, 1/2 tsp cinnamon","Toss almonds with cinnamon, roast at 350°F for 10 minutes.",200,6,14,10,Snack,Nuts,"Quick, Snack, Homemade"
Fresh fruit salad with mint,"1/2 cup mixed fruits (berries, mango, kiwi), 1 tsp honey, fresh mint","Mix fruits, drizzle with honey, garnish with mint.",180,2,1,40,Snack,None,"Raw, Plant-Based, Snack, Quick, Homemade"
Baked sweet potato fries,"1/2 medium sweet potato, 1 tsp olive oil, salt","Cut sweet potato into fries, toss with oil and salt, bake at 400°F for 20 minutes.",200,3,6,40,Snack,None,"Healthy, Baked, Snack, Quick, Homemade"
Cheese and whole-grain crackers,"1 oz cheese, 5 whole-grain crackers",Pair cheese with crackers.,250,10,12,25,Snack,"Dairy, Gluten","Quick, Snack, Homemade, Dairy"
Cucumber slices with cream cheese and smoked salmon,"5 cucumber slices, 1 tbsp cream cheese, 1 oz smoked salmon","Spread cream cheese on cucumber, top with salmon.",180,12,10,5,Snack,"Dairy, Fish","Snack, Dairy, Quick, Homemade, High Protein"
Homemade granola clusters,"1/2 cup oats, 1 tbsp honey, 1 tbsp nuts, 1 tbsp raisins","Mix ingredients, bake at 350°F for 15 minutes.",230,6,8,35,Snack,Nuts,"Quick, Snack, Homemade, Energy Boosting"
